,Line,Date,Shift,NoJig,Std Load,ItemCode,Description,Insp(B/H),OK(B/H),NG(B/H),Warna,Buram,Berbayang,Kotor,Tdk Terplating,Rontok/ Blister,Tipis/ EE No Plating,Flek Kuning,Terbakar,Watermark,Jig Mark/ Renggang,Lecet/ Scratch,Seret,Flek Hitam,Flek Tangan,Belang/ Dempet,Bintik,Kilap,Tebal,Flek Putih,Spark,Kotor H/ Oval,Terkikis/ Crack,Dimensi/ Penyok,MTL/ SLipMelintir,Kategori,Month,Cust_ID,Tot_NG,NG%
669,Rack 1,2024-07-08T00:00:00.000,2,1.2.12.5.12,378,KW SPR SEA C HKF02,Spring Seat C. HKF02-394-0A-IN (Blue),0.9921,0.9921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,KW,0,0
670,Rack 1,2024-07-08T00:00:00.000,2,1.24.1.7.8,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.9083,0.0917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09166666666666666,0,0,0,0,0,,Jul,IMN,0.09166666666666666,9.166666666666666
671,Rack 1,2024-07-08T00:00:00.000,2,1.24.22.14.10,480,IMN LEV PAR D40L LH,Lever Parking D40L LH (52-42355-34510) BLACK,1,0.8208,0.1792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17916666666666667,0,0,0,0,0,,Jul,IMN,0.17916666666666667,17.916666666666668
672,Rack 1,2024-07-08T00:00:00.000,2,1.14.12.6.14A,480,YEID YOK 5D9,Yoke 5D9-H181J-01,1,0.9688,0.0312,0,0,0,0.03125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.03125,3.125
673,Rack 1,2024-07-08T00:00:00.000,2,1.12.16.26.27,288,SSY KIC 2PBH,Kick 2PHB 14K147,0.9931,0.9931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
674,Rack 1,2024-07-08T00:00:00.000,2,1.12.13.10.44,288,SSY KIC 2PBH,Kick 2PHB 14K147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
675,Rack 1,2024-07-08T00:00:00.000,2,1.2.3.4.8,378,KW SPR SEA C HKF02,Spring Seat C. HKF02-394-0A-IN (Blue),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,KW,0,0
676,Rack 1,2024-07-08T00:00:00.000,2,1.12.14.15.32,288,SSY KIC 2PBH,Kick 2PHB 14K147,0.9931,0.9861,0.0069,0,0,0,0,0.006944444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0.006944444444444444,0.6992694033274035
677,Rack 1,2024-07-08T00:00:00.000,2,1.18.3.12.4,864,SSY PED 2PBH,Pedal 2PHB 14K148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,SSY,0,0
678,Rack 1,2024-07-08T00:00:00.000,2,1.14.9.15.5,480,YEID YOK 5D9,Yoke 5D9-H181J-01,1,0.9771,0.0229,0,0,0,0.022916666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Jul,YEID,0.022916666666666665,2.2916666666666665
