Kategori,NG%,TotInsp(Lot)
BUSI,0.6576259395251235,35965.598
NICKEL,0.00029790549521059616,10841.0
OTH,1.2730958609947365,3618.8932
RACK 1,3.853795880505102,9877.3509
SMP,0.6714158181115835,9869.0776
